Product Category,Sub Category,Unit Cost,Unit Price
Man Shoes,Derby,"1,000.00",938
Man Shoes,Derby,"2,182.00","2,352.00"
Man Shoes,Sneakers,"1,035.50",896
Man Shoes,Derby,261,230.67
Man Shoes,Derby,261,233
,Derby,391.5,439
,Sneakers,"2,071.00","2,593.00"
Man Shoes,Derby,783,821
Man Shoes,Derby,391.5,349
Man Shoes,Derby,"1,091.00","1,032.50"
Man Shoes,Derby,500,563.5
Man Shoes,Derby,"1,000.00",896
Man Shoes,Sneakers,"2,071.00","1,945.00"
Man Shoes,Derby,261,241
Man Shoes,Derby,783,724
Man Shoes,Sneakers,"1,024.50","1,300.00"
Man Shoes,Derby,"1,000.00",
Man Shoes,Derby,261,274
Man Shoes,Sneakers,690.33,680.67
Man Shoes,Sneakers,"2,071.00","2,172.00"
Man Shoes,Derby,814.33,"1,037.67"
Man Shoes,Derby,391.5,359.5
Man Shoes,Derby,"2,182.00","2,467.00"
Man Shoes,Sneakers,683,638.67
Man Shoes,Sneakers,683,662
Man Shoes,Sneakers,"1,035.50",978
Man Shoes,Sneakers,683,623
Man Shoes,Sneakers,"2,049.00","1,868.00"
Man Shoes,Sneakers,"1,035.50",
Man Shoes,Derby,261,228.67
Man Shoes,Sneakers,"1,035.50","1,131.00"
Man Shoes,Sneakers,"1,024.50",951
,Derby,727.33,581.33
Man Shoes,Derby,"1,221.50","1,161.00"
Man Shoes,Derby,783,775
Man Shoes,Derby,261,252.67
Man Shoes,Sneakers,690.33,617.33
Man Shoes,Sneakers,"1,024.50",815
Man Shoes,Derby,814.33,"1,057.67"
Man Shoes,Derby,"1,221.50","1,325.00"
Man Shoes,Sneakers,"1,035.50",702.5
Man Shoes,Derby,"2,182.00","2,327.00"
Man Shoes,Derby,500,597.5
Man Shoes,Derby,333.33,241.67
Man Shoes,Derby,"2,182.00","2,211.00"
Man Shoes,Derby,"1,000.00","1,023.00"
Man Shoes,Sneakers,"2,049.00","2,133.00"
Man Shoes,Sneakers,690.33,740.67
Man Shoes,Sneakers,683,618.67
Man Shoes,Sneakers,690.33,565
Man Shoes,Derby,"2,443.00","2,229.00"
Man Shoes,Derby,"1,091.00","1,039.00"
Man Shoes,Sneakers,"2,049.00","1,969.00"
Man Shoes,Derby,"1,221.50","1,415.00"
Man Shoes,Derby,"2,443.00","2,540.00"
Man Shoes,Derby,261,259.33
Man Shoes,Derby,814.33,920.67
Man Shoes,Sneakers,"2,049.00","2,202.00"
Man Shoes,Sneakers,683,622.67
Man Shoes,Derby,814.33,538
Man Shoes,Derby,333.33,313
Man Shoes,Derby,"1,221.50",989.5
Man Shoes,Sneakers,"2,049.00","1,719.00"
Man Shoes,Sneakers,"1,024.50","1,178.50"
Man Shoes,Sneakers,"2,071.00","2,257.00"
Man Shoes,Derby,"1,000.00",948
,Derby,783,923
Man Shoes,Derby,"1,221.50","1,186.00"
Man Shoes,Derby,333.33,287.67
Man Shoes,Derby,391.5,335.5
Man Shoes,Derby,"1,091.00",701
Man Shoes,Sneakers,"1,035.50","1,043.00"
Man Shoes,Sneakers,"2,049.00","1,813.00"
Man Shoes,Sneakers,"1,024.50","1,055.50"
Man Shoes,Sneakers,"1,024.50",840.5
Man Shoes,Sneakers,690.33,806.67
Man Shoes,Derby,"2,443.00",
Man Shoes,Derby,783,682
Man Shoes,Derby,"1,000.00",856
Man Shoes,Derby,261,174.67
Man Shoes,Derby,500,676.5
Man Shoes,Sneakers,690.33,793.33
Man Shoes,Derby,"1,221.50","1,318.50"
Man Shoes,Derby,783,787
Man Shoes,Sneakers,"2,049.00","1,227.00"
,Sneakers,"2,071.00","2,188.00"
Man Shoes,Sneakers,"1,024.50","1,049.00"
Man Shoes,Sneakers,"1,024.50","1,018.00"
Man Shoes,Sneakers,"2,071.00","1,958.00"
Man Shoes,Sneakers,690.33,626.33
Man Shoes,Sneakers,"2,049.00","2,317.00"
Man Shoes,Derby,"1,221.50","1,414.00"
Man Shoes,Derby,814.33,770.67
Man Shoes,Derby,333.33,301
Man Shoes,Derby,727.33,816.67
Man Shoes,Derby,"1,091.00","1,225.00"
Man Shoes,Derby,"2,182.00","1,850.00"
Man Shoes,Sneakers,690.33,752.33
Man Shoes,Sneakers,"1,024.50",885.5
Man Shoes,Sneakers,"1,024.50",962.5
Man Shoes,Sneakers,"2,049.00","2,360.00"
Man Shoes,Derby,"2,182.00","2,210.00"
